site_id,deployment_id,deployment_start,deployment_end,location_id,location_X,location_Y,view_quality,days,Xpl92,Ypl92,wolf,lynx
0,A-01-674,2015-09-17 12:05:00,2015-10-01 10:03:00,674,23.76452,52.68565,Good,13,821871.092923417,546205.078957974,0,0
1,A-01-675,2015-09-17 07:41:00,2015-10-06 10:34:00,675,23.68836,52.6938,Good,19,816670.060773345,546772.450497583,0,0
2,A-01-678,2015-09-17 12:38:00,2015-09-28 12:14:00,678,23.78379,52.645,Good,10,823472.600162209,541775.312817878,0,0
3,A-01-687,2015-09-17 10:04:00,2015-09-28 11:17:00,687,23.68734,52.66531,Good,11,816807.604515103,543602.622126943,0,0
4,A-01-689,2015-09-16 10:05:00,2015-09-29 09:09:00,689,23.90711,52.75214,Good,12,830993.087989937,554239.462467523,8,0
5,A-01-692,2015-09-16 09:16:00,2015-09-30 11:13:00,692,23.74905,52.80108,Good,14,819978.642143533,558960.366857878,3,0
6,A-01-693,2015-09-17 08:07:00,2015-09-27 13:45:00,693,23.73765,52.72429,Good,10,819773.934464637,550378.122871736,0,0
7,A-01-696,2015-09-17 11:01:00,2015-09-28 08:51:00,696,23.69631,52.61676,Good,10,817765.724737357,538248.118428278,0,0
8,A-01-700,2015-09-17 09:38:00,2015-10-06 10:05:00,700,23.65388,52.68002,Good,19,814441.643320503,545090.154931546,0,0
9,A-01-710,2015-09-16 07:46:00,2015-09-30 12:19:00,710,23.81176,52.75149,Good,14,824570.507744642,553732.265469035,0,0
10,A-01-714,2015-09-17 07:04:00,2015-09-28 12:49:00,714,23.79646,52.66535,Good,11,824177.977197789,544093.20222404,0,0
11,A-01-716,2015-09-15 11:26:00,2015-09-29 11:27:00,716,23.63714,52.91304,Good,14,811638.649289972,570907.107428033,0,0
12,A-01-717,2015-09-15 08:56:00,2015-09-29 07:56:00,717,23.65931,52.8229,Good,13,813778.424813277,560988.603447098,0,0
13,A-01-718,2015-09-16 10:36:00,2015-09-30 09:43:00,718,23.69465,52.78222,Good,13,816452.592098683,556623.938834544,1,0
14,A-01-719,2015-09-14 11:42:00,2015-09-28 09:51:00,719,23.5704,52.62043,Good,13,809225.229374956,538107.567064485,2,0
15,A-01-720,2015-09-17 11:18:00,2015-10-15 10:09:00,720,23.6871,52.72286,Good,27,816374.40906896,549995.574868125,0,0
