pixel_id,X,Y
1,809750,572250
2,810250,572250
3,810750,572250
4,811250,572250
5,811750,572250
6,808750,571750
7,809250,571750
8,809750,571750
9,810250,571750
10,810750,571750
11,811250,571750
12,811750,571750
13,812250,571750
14,807250,571250
15,807750,571250
16,808250,571250
17,808750,571250
18,809250,571250
19,809750,571250
20,810250,571250
21,810750,571250
22,811250,571250
23,811750,571250
24,812250,571250
25,812750,571250
26,807250,570750
27,807750,570750
28,808250,570750
29,808750,570750
30,809250,570750
31,809750,570750
32,810250,570750
33,810750,570750
34,811250,570750
35,811750,570750
36,812250,570750
37,812750,570750
38,808750,570250
39,809250,570250
40,809750,570250
41,810250,570250
42,810750,570250
43,811250,570250
44,811750,570250
45,812250,570250
46,812750,570250
47,813250,570250
48,829750,570250
49,830250,570250
50,830750,570250
51,808250,569750
52,808750,569750
53,809250,569750
54,809750,569750
55,810250,569750
56,810750,569750
57,811250,569750
58,811750,569750
59,812250,569750
60,812750,569750
61,813250,569750
62,829750,569750
63,830250,569750
64,830750,569750
65,808250,569250
66,808750,569250
67,809250,569250
68,809750,569250
69,810250,569250
70,810750,569250
71,811250,569250
72,811750,569250
73,812250,569250
74,812750,569250
75,813250,569250
76,829750,569250
77,830250,569250
78,830750,569250
79,808250,568750
80,808750,568750
81,809250,568750
82,809750,568750
83,810250,568750
84,810750,568750
85,811250,568750
86,811750,568750
87,812250,568750
88,812750,568750
89,813250,568750
90,826750,568750
91,827250,568750
92,827750,568750
93,829250,568750
94,829750,568750
95,830250,568750
96,830750,568750
97,808750,568250
98,809250,568250
99,809750,568250
100,810250,568250
101,810750,568250
102,811250,568250
103,811750,568250
104,812250,568250
105,812750,568250
106,825750,568250
107,826250,568250
108,826750,568250
109,827250,568250
110,827750,568250
111,828250,568250
112,828750,568250
113,829250,568250
114,829750,568250
115,830250,568250
116,830750,568250
117,809250,567750
118,809750,567750
119,810250,567750
120,810750,567750
121,811250,567750
122,811750,567750
123,812250,567750
124,812750,567750
125,825750,567750
126,826250,567750
127,826750,567750
