site_id,deployment_id,deployment_start,deployment_end,location_id,location_X,location_Y,view_quality,days,Xpl92,Ypl92,red_deer_f,red_deer_m,roe_deer,wild_boar,bison,moose
0,S1-A-001-712,2012-05-08 07:14:00,2012-05-17 06:20:00,A-001-712,23.86415,52.68057,Acceptable,8,828635.61,546091.28,0,0,0,3,0,0
1,S1-A-002-783,2012-05-08 07:30:00,2012-05-17 08:00:00,A-002-783,23.81797,52.73365,Good,9,825122.1,551778.34,3,0,0,4,0,0
2,S1-A-003-786,2012-05-08 07:56:00,2012-05-17 07:00:00,A-003-786,23.84159,52.67929,Acceptable,8,827121.94,545846.23,7,1,0,0,0,0
3,S1-A-004-708,2012-05-08 08:16:00,2012-05-17 08:45:00,A-004-708,23.78906,52.73986,Good,9,823126.44,552337.88,2,0,0,0,0,0
4,S1-A-005-790,2012-05-08 08:18:00,2012-05-17 07:23:00,A-005-790,23.85192,52.66975,Acceptable,8,827890.99,544833.4,1,0,0,0,0,0
5,S1-A-007-771,2012-05-08 08:55:00,2012-05-17 09:00:00,A-007-771,23.80053,52.74387,Acceptable,9,823870.07,552835.02,2,0,0,4,0,0
6,S1-A-009-722,2012-05-08 09:50:00,2012-05-17 09:50:00,A-009-722,23.814,52.74556,Good,9,824765.67,553083.57,1,2,0,6,0,2
7,S1-A-010-711,2012-05-08 09:58:00,2012-05-17 08:25:00,A-010-711,23.82098,52.6597,Good,8,825876.26,543576.28,0,0,0,0,0,0
8,S1-A-011-727,2012-05-08 10:28:00,2012-05-17 08:58:00,A-011-727,23.82266,52.67315,Perfect,8,825889.51,545078.16,1,1,0,0,0,0
9,S1-A-014-741,2012-05-08 11:20:00,2012-05-17 09:59:00,A-014-741,23.79431,52.68557,Perfect,8,823882.93,546329.93,0,0,1,0,0,0
10,S1-A-015-734,2012-05-08 11:35:00,2012-05-17 10:50:00,A-015-734,23.80608,52.75946,Good,8,824128.35,554592.08,0,0,0,1,0,0
11,S1-A-017-674,2012-05-08 12:20:00,2012-05-17 11:25:00,A-017-674,23.75384,52.75706,Perfect,8,820625.05,554091.05,2,1,1,0,0,0
12,S1-A-019-689,2012-05-09 07:12:00,2012-05-18 06:40:00,A-019-689,23.76006,52.74773,Perfect,8,821113.01,553082.25,1,10,0,3,0,0
13,S1-A-020-690,2012-05-09 07:18:00,2012-05-18 07:05:00,A-020-690,23.90413,52.7061,Good,8,831141.45,549110.96,3,0,0,0,0,1
14,S1-A-021-788,2012-05-09 07:45:00,2012-05-18 07:00:00,A-021-788,23.74128,52.74407,Acceptable,8,819873.74,552591.86,0,0,0,1,0,0
15,S1-A-024-688,2012-05-09 08:35:00,2012-05-17 12:40:00,A-024-688,23.73129,52.75338,Acceptable,8,819132.03,553581.8,0,0,0,0,0,2
16,S1-A-025-695,2012-05-09 08:43:00,2012-05-18 08:25:00,A-025-695,23.92385,52.72058,Good,8,832361.87,550810.6,4,0,0,10,0,0
17,S1-A-029-754,2012-05-09 10:15:00,2012-05-18 09:43:00,A-029-754,23.76202,52.69579,Perfect,8,821627.66,547320.45,1,0,0,0,0,0
18,S1-A-030-755,2012-05-09 10:37:00,2012-05-18 10:04:00,A-030-755,23.76851,52.68656,Perfect,8,822133.77,546324.04,0,0,2,0,0,0
19,S1-A-031-782,2012-05-09 10:45:00,2012-05-18 08:50:00,A-031-782,23.7558,52.7075,Acceptable,8,821121.72,548593.64,4,0,0,2,0,0
20,S1-A-034-676,2012-05-09 11:45:00,2012-05-18 10:45:00,A-034-676,23.76292,52.66906,Good,8,821885.2,544354.77,0,0,0,0,0,0
21,S1-A-037-776,2012-05-09 12:50:00,2012-05-18 10:50:00,A-037-776,23.76078,52.71847,Acceptable,8,821377.01,549834.66,0,7,0,0,0,0
22,S1-A-038-700,2012-05-10 06:00:00,2012-05-18 09:30:00,A-038-700,23.78175,52.70644,Perfect,8,822880.67,548592.09,0,1,1,1,0,0
