site_id,deployment_id,deployment_start,deployment_end,location_id,location_X,location_Y,view_quality,days,Xpl92,Ypl92,red_deer_f,red_deer_m,roe_deer,wild_boar,bison,moose
23,S1-A-040-760,2012-05-10 07:10:00,2012-05-17 06:45:00,A-040-760,23.80444,52.71218,Acceptable,6,824369.18,549331.94,1,0,2,0,0,4
24,S10-A-351-767,2012-10-17 12:34:27,2012-10-29 11:55:11,A-351-767,23.80923,52.67643,Good,11,824958.17,545381.79,1,0,0,0,0,0
25,S10-A-352-690,2012-10-17 11:51:05,2012-10-29 11:13:43,A-352-690,23.80437,52.67313,Good,11,824654.49,544993.22,0,0,0,0,0,0
26,S10-A-353-790,2012-10-17 12:14:44,2012-10-29 11:35:54,A-353-790,23.80551,52.68127,Good,11,824671.02,545902.71,0,0,0,0,0,0
27,S10-A-354-708,2012-10-17 10:22:20,2012-10-29 09:59:36,A-354-708,23.80246,52.66636,Good,11,824575.75,544232.47,0,0,0,1,0,0
28,S10-A-355-701,2012-10-17 08:05:57,2012-10-29 09:42:37,A-355-701,23.79845,52.65747,Acceptable,12,824370.82,543226.72,0,0,0,1,0,0
29,S10-A-356-727,2012-10-17 08:46:21,2012-10-29 08:29:23,A-356-727,23.80649,52.64913,Good,11,824975.92,542336.44,0,0,0,4,0,0
30,S10-A-357-689,2012-10-17 09:15:13,2012-10-29 08:52:30,A-357-689,23.80014,52.64434,Acceptable,11,824582.37,541775.61,0,0,0,0,0,0
31,S10-A-360-751,2012-10-17 11:21:43,2012-10-29 10:48:13,A-360-751,23.81803,52.66987,Good,11,825601.26,544692.79,0,1,0,10,0,0
32,S10-A-361-794,2012-10-17 11:38:03,2012-10-29 11:50:13,A-361-794,23.86789,52.86916,Perfect,12,827467.3,567060,13,14,0,14,4,0
33,S10-A-362-682,2012-10-17 11:58:51,2012-10-29 12:10:13,A-362-682,23.85963,52.86442,Perfect,12,826947.7,566495.73,0,5,0,2,0,0
34,S10-A-363-730,2012-10-17 11:17:13,2012-10-29 11:30:13,A-363-730,23.88663,52.87258,Good,12,828701.23,567525.65,0,5,0,13,0,0
35,S10-A-364-772,2012-10-17 12:24:33,2012-10-29 12:30:13,A-364-772,23.84055,52.87408,Perfect,12,825592.41,567482.15,0,2,1,8,2,0
36,S10-A-366-712,2012-10-17 09:11:08,2012-10-29 09:30:13,A-366-712,23.90982,52.87924,Perfect,12,830209.4,568372.06,1,2,0,13,0,0
37,S10-A-367-783,2012-10-17 08:44:44,2012-10-29 09:13:13,A-367-783,23.91795,52.87738,Good,12,830769.99,568202.88,0,0,0,1,0,0
38,S10-A-368-688,2012-10-17 10:03:26,2012-10-29 10:10:13,A-368-688,23.91528,52.88538,Good,12,830529.59,569079.33,0,0,0,0,0,0
39,S10-A-369-758,2012-10-17 10:27:17,2012-10-29 10:35:13,A-369-758,23.91059,52.89698,Good,12,830126.12,570346.42,0,0,0,30,0,0
40,S10-A-370-695,2012-10-17 10:49:33,2012-10-29 11:00:13,A-370-695,23.91646,52.89889,Acceptable,12,830505.92,570585.65,0,0,0,18,0,4
41,S10-A-386-711,2012-10-18 07:56:58,2012-10-29 08:30:13,A-386-711,23.79326,52.71219,Acceptable,11,823614.77,549282.66,0,0,0,0,0,0
42,S10-A-387-776,2012-10-18 07:31:22,2012-10-30 08:46:32,A-387-776,23.78786,52.71923,Good,12,823198.29,550040.51,2,2,0,0,0,0
43,S10-A-388-673,2012-10-18 09:56:39,2012-10-30 09:31:42,A-388-673,23.74212,52.72421,Perfect,11,820076.05,550389.13,0,0,0,2,0,0
44,S10-A-389-734,2012-10-18 10:57:51,2012-10-30 10:34:46,A-389-734,23.71285,52.72091,Perfect,11,818125.67,549892.56,15,8,0,0,0,0
45,S10-A-390-674,2012-10-18 10:35:39,2012-10-30 10:11:41,A-390-674,23.72153,52.72754,Perfect,11,818662.82,550667.62,14,1,1,3,1,0
46,S10-A-391-686,2012-10-18 08:38:49,2012-10-30 07:47:05,A-391-686,23.81769,52.70255,Good,11,825334.92,548321.93,1,0,0,0,0,0
47,S10-A-392-770,2012-10-18 08:46:42,2012-10-30 08:45:05,A-392-770,23.59322,52.67252,Good,11,810398.71,543993.41,4,4,0,0,0,0
48,S10-A-393-676,2012-10-18 09:12:56,2012-10-30 09:00:05,A-393-676,23.60271,52.67856,Perfect,11,810996.69,544705.48,0,0,0,8,0,1
49,S10-A-394-722,2012-10-18 09:46:35,2012-10-30 09:30:05,A-394-722,23.60745,52.67288,Acceptable,11,811357.23,544094.9,0,0,0,0,0,0
50,S10-A-395-741,2012-10-18 10:22:51,2012-10-30 09:45:05,A-395-741,23.61909,52.66462,Perfect,11,812202.33,543227.6,0,0,0,0,0,0
51,S10-A-397-755,2012-10-18 11:35:00,2012-10-30 10:30:05,A-397-755,23.62891,52.65731,Perfect,11,812917.96,542458.08,2,3,0,3,0,0
52,S11-A-398-794,2012-11-07 09:25:18,2012-11-20 08:13:51,A-398-794,23.63286,52.82691,Good,12,811969.45,561318.87,0,0,0,28,0,0
53,S11-A-399-722,2012-11-07 10:11:48,2012-11-20 08:42:15,A-399-722,23.67296,52.84311,Good,12,814550.86,563293.78,0,0,0,4,0,0
54,S11-A-400-695,2012-11-07 10:53:54,2012-11-20 09:12:33,A-400-695,23.71376,52.85345,Perfect,12,817220.06,564622.18,1,0,0,22,0,0
55,S11-A-401-783,2012-11-07 11:27:54,2012-11-20 09:40:22,A-401-783,23.67539,52.85605,Perfect,12,814620.62,564742.13,0,0,0,15,0,0
56,S11-A-402-711,2012-11-07 12:39:38,2012-11-20 10:35:26,A-402-711,23.65703,52.86553,Perfect,12,813317.46,565715.08,5,5,0,11,0,0
57,S11-A-403-751,2012-11-07 11:56:31,2012-11-20 10:07:51,A-403-751,23.67282,52.87228,Perfect,12,814330.28,566534.11,7,3,0,20,0,0
58,S11-A-404-758,2012-11-07 13:12:07,2012-11-20 10:53:44,A-404-758,23.65934,52.87288,Perfect,12,813419.72,566541.8,0,0,0,13,0,0
59,S11-A-405-708,2012-11-07 13:39:16,2012-11-20 11:19:55,A-405-708,23.62463,52.8828,Perfect,12,811015.18,567492.92,3,3,1,6,0,0
60,S11-A-406-730,2012-11-07 14:21:23,2012-11-20 12:01:27,A-406-730,23.63888,52.89129,Good,12,811911.91,568498.09,1,0,1,8,0,0
61,S11-A-407-712,2012-11-07 14:00:33,2012-11-20 11:41:27,A-407-712,23.63033,52.89516,Good,12,811309.59,568890.93,8,3,0,22,0,0
62,S11-A-408-671,2012-11-06 11:49:06,2012-11-19 11:21:39,A-408-671,23.78779,52.76811,Perfect,12,822831.53,555470.74,1,2,0,18,0,0
63,S11-A-409-770,2012-11-06 10:45:49,2012-11-19 10:21:22,A-409-770,23.78587,52.77905,Perfect,12,822621.13,556677.54,1,0,2,8,1,0
64,S11-A-410-688,2012-11-06 10:11:15,2012-11-19 09:36:24,A-410-688,23.76076,52.77907,Good,12,820929.34,556567.28,0,0,0,2,0,0
65,S11-A-411-682,2012-11-06 10:24:43,2012-11-19 10:02:57,A-411-682,23.77202,52.7829,Good,12,821659.63,557043.16,0,0,0,0,0,0
66,S11-A-413-741,2012-11-06 09:46:22,2012-11-19 09:25:08,A-413-741,23.75145,52.7827,Good,12,820275.43,556929.02,0,2,0,0,0,0
67,S11-A-414-755,2012-11-06 09:28:22,2012-11-19 09:09:49,A-414-755,23.73917,52.78314,Perfect,12,819444.97,556923.22,10,5,0,23,0,0
68,S11-A-415-706,2012-11-06 09:07:29,2012-11-19 08:50:40,A-415-706,23.7345,52.77716,Perfect,12,819174.2,556238.07,2,1,0,24,0,0
69,S11-A-416-772,2012-11-06 08:45:48,2012-11-19 08:29:28,A-416-772,23.74617,52.76822,Perfect,12,820026.11,555296.74,0,0,0,0,6,0
70,S11-A-417-754,2012-11-06 08:19:39,2012-11-19 08:13:48,A-417-754,23.74248,52.76296,Perfect,12,819816.05,554695.91,0,0,0,0,0,0
71,S11-A-418-673,2012-11-07 09:01:24,2012-11-19 08:17:33,A-418-673,23.85059,52.79844,Good,11,826835.6,559124.37,0,0,0,12,0,0
72,S11-A-419-788,2012-11-07 09:46:01,2012-11-19 08:42:59,A-419-788,23.85742,52.79072,Perfect,11,827353.56,558297.82,0,6,0,8,0,0
73,S11-A-420-689,2012-11-07 10:01:14,2012-11-19 08:58:42,A-420-689,23.87113,52.78874,Perfect,11,828291.84,558140.43,1,0,0,9,1,0
74,S11-A-421-776,2012-11-07 10:21:20,2012-11-19 09:13:51,A-421-776,23.87523,52.77893,Perfect,11,828642.01,557069.33,0,0,0,10,1,0
75,S11-A-422-767,2012-11-07 10:48:54,2012-11-19 09:31:30,A-422-767,23.88238,52.77821,Good,11,829129.12,557022.08,3,0,0,37,0,0
76,S11-A-424-727,2012-11-07 11:44:21,2012-11-19 10:25:41,A-424-727,23.91036,52.78283,Perfect,11,830978.94,557663.92,0,3,0,35,0,0
77,S11-A-425-701,2012-11-07 12:04:05,2012-11-19 10:45:29,A-425-701,23.90896,52.79096,Good,11,830822.86,558560.67,0,4,0,40,0,0
78,S11-A-427-674,2012-11-07 12:50:59,2012-11-19 11:38:03,A-427-674,23.9087,52.77205,Good,11,830949.03,556458.67,0,0,0,40,0,0
79,S11-A-428-676,2012-11-08 08:27:18,2012-11-20 07:22:02,A-428-676,23.78462,52.68619,Acceptable,11,823224.13,546355.22,0,0,0,0,0,0
80,S11-A-429-734,2012-11-08 08:49:02,2012-11-20 07:37:17,A-429-734,23.78363,52.6764,Perfect,11,823229.68,545263.11,0,0,0,2,0,0
81,S11-A-430-790,2012-11-08 09:14:11,2012-11-20 07:59:06,A-430-790,23.77212,52.65536,Good,11,822607.59,542873.91,0,0,0,0,5,0
82,S11-A-431-686,2012-11-08 09:41:57,2012-11-20 08:24:18,A-431-686,23.78283,52.64557,Perfect,11,823403.51,541834.32,0,0,0,4,0,0
83,S11-A-432-721,2012-11-08 10:22:50,2012-11-20 08:58:27,A-432-721,23.75116,52.64773,Perfect,11,821247.52,541932.43,1,1,0,3,0,0
84,S11-A-434-786,2012-11-08 10:52:31,2012-11-20 09:29:23,A-434-786,23.74318,52.63686,Acceptable,11,820787.93,540689.17,0,0,0,4,0,0
85,S11-A-435-733,2012-11-08 11:45:19,2012-11-20 10:31:07,A-435-733,23.71955,52.63248,Perfect,11,819222.69,540097.48,6,0,0,1,0,0
86,S11-A-436-782,2012-11-08 12:09:42,2012-11-20 10:53:18,A-436-782,23.71916,52.64487,Perfect,11,819106,541472.3,0,3,5,1,0,0
87,S12-A-439-782,2012-11-22 08:32:16,2012-12-05 08:03:38,A-439-782,23.65159,52.69413,Good,12,814185.56,546647.84,0,0,0,22,0,0
88,S12-A-440-790,2012-11-22 08:13:37,2012-12-05 08:21:53,A-440-790,23.66428,52.68517,Acceptable,13,815106.78,545707.86,0,0,0,1,0,0
89,S12-A-441-733,2012-11-22 09:25:52,2012-12-05 08:51:05,A-441-733,23.6348,52.70192,Acceptable,12,812996.35,547440.13,1,2,0,5,0,0
90,S12-A-442-676,2012-11-22 10:13:31,2012-12-05 09:32:14,A-442-676,23.61635,52.71308,Perfect,12,811671.46,548599.94,11,3,0,6,1,0
91,S12-A-443-760,2012-11-22 10:32:54,2012-12-05 10:01:30,A-443-760,23.60032,52.70063,Good,12,810678.37,547147.29,1,3,1,26,0,0
92,S12-A-446-721,2012-11-22 11:01:37,2012-12-05 10:43:49,A-446-721,23.57761,52.71419,Acceptable,12,809049.57,548556.04,0,0,0,0,0,0
93,S12-A-448-682,2012-11-22 08:59:04,2012-12-03 10:20:15,A-448-682,23.88647,52.80626,Acceptable,11,829192.47,560157.06,0,0,0,1,0,0
94,S12-A-449-754,2012-11-22 09:23:09,2012-12-03 10:40:15,A-449-754,23.87126,52.81112,Good,11,828131.81,560627.36,0,0,0,17,0,0
95,S12-A-450-741,2012-11-22 09:47:13,2012-12-03 11:00:15,A-450-741,23.88376,52.82079,Good,11,828900.14,561758.85,1,0,0,4,0,0
96,S12-A-451-770,2012-11-22 10:18:36,2012-12-03 11:30:15,A-451-770,23.86761,52.83576,Good,11,827700.36,563348.1,1,0,0,8,0,0
97,S12-A-452-706,2012-11-22 11:01:49,2012-12-03 11:50:15,A-452-706,23.85186,52.84765,Good,11,826551.36,564597.24,3,2,0,0,0,0
98,S12-A-453-772,2012-11-22 11:23:05,2012-12-03 12:05:15,A-453-772,23.86099,52.85336,Good,11,827122.44,565273.19,0,0,0,11,2,0
99,S12-A-454-700,2012-11-22 13:01:26,2012-12-03 13:25:15,A-454-700,23.88012,52.84135,Perfect,11,828499.76,564026.31,0,0,0,11,0,0
100,S12-A-455-671,2012-11-22 12:30:22,2012-12-03 13:00:15,A-455-671,23.89454,52.8427,Good,11,829459.55,564242.4,0,1,0,2,0,0
101,S12-A-456-755,2012-11-22 12:11:25,2012-12-03 12:40:15,A-456-755,23.89504,52.85034,Perfect,11,829435.24,565093.46,6,4,1,9,3,0
102,S12-A-457-688,2012-11-22 11:52:37,2012-12-03 12:20:15,A-457-688,23.8985,52.85551,Perfect,11,829628.71,565683.71,0,0,0,11,1,0
103,S12-A-458-722,2012-11-23 08:13:50,2012-12-04 08:14:15,A-458-722,23.76813,52.79107,Good,11,821337.29,557933.44,2,0,0,0,0,0
104,S12-A-459-783,2012-11-23 08:24:11,2012-12-04 08:28:57,A-459-783,23.76502,52.80107,Acceptable,11,821054.06,559030.54,0,0,0,7,0,0
105,S12-A-460-708,2012-11-23 08:40:26,2012-12-04 11:16:00,A-460-708,23.75481,52.81058,Perfect,11,820296.56,560041.51,3,1,0,1,0,0
106,S12-A-461-711,2012-11-23 08:57:50,2012-12-04 11:31:29,A-461-711,23.75208,52.81835,Perfect,11,820055.6,560892.59,0,1,0,21,0,0
107,S12-A-462-758,2012-11-23 09:13:10,2012-12-04 11:50:15,A-462-758,23.7352,52.80893,Perfect,11,818988.49,559770.89,0,0,3,15,0,0
108,S12-A-464-695,2012-11-23 09:46:37,2012-12-04 12:24:00,A-464-695,23.72966,52.78953,Acceptable,11,818757.56,557590.91,0,0,0,16,0,0
109,S12-A-465-712,2012-11-23 10:07:20,2012-12-04 12:40:45,A-465-712,23.71403,52.78615,Good,11,817729.47,557146.13,3,0,0,0,0,0
110,S12-A-466-794,2012-11-23 10:43:47,2012-12-04 13:13:11,A-466-794,23.70459,52.79085,Acceptable,11,817059.37,557626.6,0,0,0,12,0,0
111,S12-A-467-730,2012-11-23 10:23:19,2012-12-04 12:53:11,A-467-730,23.69744,52.78546,Acceptable,11,816616.99,556996.21,4,2,3,2,0,0
112,S12-A-468-788,2012-11-23 07:57:24,2012-12-06 07:41:38,A-468-788,23.76669,52.67909,Good,12,822065.93,545485.98,0,1,0,12,0,0
113,S12-A-469-674,2012-11-23 08:22:17,2012-12-06 07:59:39,A-469-674,23.75132,52.67387,Perfect,12,821066.41,544837.32,1,1,0,0,0,0
114,S12-A-470-673,2012-11-23 08:43:25,2012-12-06 08:17:02,A-470-673,23.73212,52.67725,Good,12,819745.05,545127.31,0,2,0,0,0,0
115,S12-A-471-690,2012-11-23 09:01:51,2012-12-06 08:36:33,A-471-690,23.71463,52.67774,Good,12,818560.41,545104.15,0,2,0,4,0,0
116,S12-A-473-689,2012-11-23 09:49:58,2012-12-06 09:15:59,A-473-689,23.71983,52.65717,Perfect,12,819061.59,542841.82,2,0,0,0,0,0
117,S12-A-475-771,2012-11-23 10:34:01,2012-12-06 09:55:28,A-475-771,23.69159,52.6448,Acceptable,12,817243.36,541342.62,0,2,0,0,0,0
118,S12-A-476-701,2012-11-23 11:16:18,2012-12-06 10:26:49,A-476-701,23.68166,52.65797,Perfect,12,816477.03,542762.12,0,1,0,4,0,0
119,S17-B-034-733,2013-04-18 10:52:45,2013-04-26 10:16:13,B-034-733,23.70649,52.76355,Perfect,7,817386.19,554601.87,0,0,0,0,0,0
120,S17-B-035-727,2013-04-17 11:25:26,2013-04-25 09:37:18,B-035-727,23.68626,52.77031,Acceptable,7,815973.76,555263.76,0,0,0,1,0,0
121,S17-B-039-701,2013-04-17 10:32:51,2013-04-25 08:51:44,B-039-701,23.68741,52.77738,Good,7,815999.97,556054.32,2,1,0,1,1,0
122,S17-B-041-706,2013-04-18 09:26:26,2013-04-26 09:15:26,B-041-706,23.72034,52.78922,Good,7,818132.08,557515.15,0,0,0,0,0,0
123,S17-B-043-771,2013-04-17 09:50:19,2013-04-25 08:20:19,B-043-771,23.68856,52.78682,Perfect,7,816008.95,557108.21,0,0,0,0,10,0
124,S17-B-044-760,2013-04-17 08:09:06,2013-04-25 07:28:05,B-044-760,23.67061,52.78597,Perfect,7,814805.99,556934.94,0,0,0,0,0,0
125,S17-B-048-671,2013-04-17 08:42:44,2013-04-25 07:43:35,B-048-671,23.6705,52.79612,Perfect,7,814725.2,558062.18,0,1,0,4,0,0
126,S17-B-049-700,2013-04-17 07:07:35,2013-04-25 07:08:40,B-049-700,23.67762,52.82458,Perfect,8,814998.59,561255.44,0,1,0,0,0,0
127,S17-B-050-722,2013-04-17 07:38:58,2013-04-25 07:29:37,B-050-722,23.6572,52.82731,Perfect,7,813604.61,561469.36,0,0,0,7,0,0
128,S17-B-051-772,2013-04-17 08:06:00,2013-04-25 07:56:55,B-051-772,23.64431,52.82457,Good,7,812756.85,561108.7,0,0,0,5,0,0
129,S17-B-052-783,2013-04-17 10:55:09,2013-04-25 10:54:41,B-052-783,23.67314,52.83437,Perfect,7,814626.23,562323.51,0,0,0,1,0,0
130,S17-B-053-674,2013-04-17 10:28:21,2013-04-25 10:31:39,B-053-674,23.65725,52.83447,Perfect,8,813556.33,562265.09,0,0,0,1,0,0
131,S17-B-054-758,2013-04-17 09:33:41,2013-04-25 09:28:02,B-054-758,23.64291,52.83351,Good,7,812598.35,562095.89,1,0,0,20,0,0
132,S17-B-055-741,2013-04-17 09:10:42,2013-04-25 08:52:28,B-055-741,23.62499,52.83449,Perfect,7,811385.52,562126.89,0,0,0,2,0,0
133,S17-B-056-721,2013-04-18 09:35:46,2013-04-26 09:45:00,B-056-721,23.67468,52.84287,Perfect,8,814668.31,563274.66,0,0,0,0,0,0
134,S17-B-057-730,2013-04-18 10:43:07,2013-04-26 10:09:42,B-057-730,23.65734,52.84763,Good,7,813467.46,563727.64,0,0,0,5,0,0
135,S17-B-058-673,2013-04-18 11:03:59,2013-04-26 10:25:43,B-058-673,23.64465,52.84498,Good,7,812632.92,563377.86,1,0,1,14,0,0
136,S17-B-059-782,2013-04-18 11:26:32,2013-04-26 10:56:12,B-059-782,23.63104,52.84137,Good,7,811743.26,562917.57,2,1,0,9,0,0
137,S17-B-060-682,2013-04-18 09:08:35,2013-04-26 09:21:08,B-060-682,23.67302,52.85298,Acceptable,8,814483.45,564390.65,0,0,0,0,0,0
138,S17-B-061-676,2013-04-18 08:41:55,2013-04-26 09:01:18,B-061-676,23.65675,52.8536,Acceptable,8,813384.71,564388.37,2,0,0,22,0,0
139,S17-B-062-794,2013-04-18 08:10:54,2013-04-26 08:38:26,B-062-794,23.64108,52.85348,Perfect,8,812331.65,564306.72,0,1,4,28,0,0
140,S17-B-063-790,2013-04-18 07:38:58,2013-04-26 08:01:48,B-063-790,23.62517,52.85201,Perfect,8,811272.12,564074.27,0,0,0,50,0,0
141,S17-B-064-695,2013-04-17 08:29:25,2013-04-25 08:17:15,B-064-695,23.63363,52.82403,Good,7,812041.94,561002.23,0,8,2,0,0,0
142,S18-B-065-771,2013-05-16 11:21:33,2013-05-27 09:56:10,B-065-771,23.69636,52.61749,Good,10,817763.81,538329.44,3,0,0,15,1,0
143,S18-B-066-760,2013-05-16 11:40:00,2013-05-27 09:35:00,B-066-760,23.68344,52.61776,Acceptable,10,816888.18,538302.49,2,1,0,0,0,0
144,S18-B-068-733,2013-05-16 10:38:16,2013-05-27 09:07:51,B-068-733,23.65306,52.61602,Acceptable,10,814846.33,537975.87,4,0,0,0,0,0
145,S18-B-069-790,2013-05-16 07:51:24,2013-05-27 07:08:34,B-069-790,23.70284,52.62795,Acceptable,10,818126.03,539520.2,0,0,0,1,0,0
146,S18-B-070-788,2013-05-16 12:20:00,2013-05-27 10:15:00,B-070-788,23.68393,52.62719,Perfect,10,816853.1,539352.35,1,2,1,4,1,1
147,S18-B-071-701,2013-05-16 10:19:52,2013-05-27 08:51:42,B-071-701,23.66555,52.62698,Acceptable,10,815612,539248.27,2,0,0,1,1,0
148,S18-B-072-700,2013-05-16 10:30:00,2013-05-27 08:50:00,B-072-700,23.65201,52.62782,Acceptable,10,814690.55,539282.31,0,0,1,6,0,0
149,S18-B-073-734,2013-05-16 08:05:00,2013-05-27 07:10:00,B-073-734,23.70218,52.63341,Perfect,10,818041.75,540123.9,2,0,1,28,0,0
150,S18-B-074-730,2013-05-16 08:26:20,2013-05-27 07:36:15,B-074-730,23.68689,52.63902,Perfect,10,816967.58,540679.73,0,0,0,1,0,0
151,S18-B-075-000,2013-05-16 09:40:08,2013-05-27 08:33:36,B-075-000,23.66313,52.63653,Good,10,815379.6,540298.7,0,0,0,0,0,0
152,S18-B-076-741,2013-05-16 09:50:00,2013-05-27 08:30:00,B-076-741,23.65191,52.63734,Perfect,10,814615.39,540339.59,0,0,1,9,0,0
153,S18-B-077-794,2013-05-16 08:48:42,2013-05-27 07:55:17,B-077-794,23.69402,52.64394,Perfect,10,817413.81,541257.79,1,0,0,7,0,0
154,S18-B-078-758,2013-05-16 09:00:00,2013-05-27 07:50:00,B-078-758,23.68262,52.64788,Good,10,816614.88,541645.31,3,0,0,0,0,1
155,S18-B-079-772,2013-05-16 09:30:00,2013-05-27 09:15:00,B-079-772,23.65852,52.64671,Good,10,814994.74,541409.56,1,0,0,29,0,0
156,S18-B-080-695,2013-05-16 09:16:41,2013-05-27 08:15:58,B-080-695,23.64913,52.64698,Perfect,10,814358.25,541398.49,3,0,1,23,0,0
157,S18-B-081-706,2013-05-17 09:54:58,2013-05-28 09:36:26,B-081-706,23.59979,52.61309,Perfect,10,811264.72,537418.69,0,0,0,6,0,0
158,S18-B-082-767,2013-05-17 09:20:00,2013-05-28 09:15:00,B-082-767,23.58423,52.61354,Perfect,10,810209.19,537401.53,0,0,0,6,0,0
159,S18-B-083-682,2013-05-17 09:55:00,2013-05-28 09:30:00,B-083-682,23.57747,52.61096,Perfect,10,809770.24,537085.77,0,0,0,34,0,0
160,S18-B-084-782,2013-05-17 10:25:00,2013-05-28 09:55:00,B-084-782,23.55911,52.60837,Perfect,10,808546.69,536719.17,1,0,0,0,0,0
161,S18-B-085-671,2013-05-17 09:38:32,2013-05-28 09:21:11,B-085-671,23.60457,52.61972,Perfect,10,811540.85,538176,2,0,0,14,0,0
162,S18-B-086-676,2013-05-17 09:12:44,2013-05-28 08:58:31,B-086-676,23.5875,52.62271,Good,10,810365.38,538434.48,0,0,0,3,0,0
163,S18-B-087-727,2013-05-17 11:07:09,2013-05-28 10:24:48,B-087-727,23.56696,52.628,Perfect,10,808939.23,538933.89,1,0,3,0,0,0
164,S18-B-088-754,2013-05-17 11:10:00,2013-05-28 10:20:00,B-088-754,23.55508,52.62481,Acceptable,10,808158.47,538528.53,0,0,1,0,0,0
165,S18-B-090-688,2013-05-17 08:50:06,2013-05-28 08:39:05,B-090-688,23.58762,52.63152,Good,10,810311.08,539413.85,2,0,0,0,0,0
166,S18-B-091-726,2013-05-17 07:40:17,2013-05-28 07:58:54,B-091-726,23.57258,52.63479,Perfect,11,809271.23,539712.44,0,0,0,2,0,0
167,S18-B-092-783,2013-05-17 08:12:53,2013-05-28 07:37:29,B-092-783,23.55281,52.63377,Good,10,807941.99,539514.35,1,0,0,2,0,0
168,S18-B-094-673,2013-05-17 07:20:00,2013-05-28 08:20:00,B-094-673,23.58798,52.64467,Good,11,810242.22,540876.47,0,0,0,0,0,0
